ID,timestamp,timediff,X1,X2,X5,X7,X8
4760,29393,10,34.107,34.427,,33.797,28.427
773,29396,10,34.107,35.057,,33.797,29.377
6015,29399,10,34.107,35.057,36.947,34.737,29.377
2069,29400,11,34.107,35.057,36.947,34.737,29.377
3395,29402,10,38.837,35.057,36.947,34.737,29.377
4761,29403,10,38.837,35.057,36.947,34.737,29.377
774,29407,11,38.837,45.457,36.947,34.737,36.787
6016,29409,10,38.837,45.457,45.457,47.197,36.787
2070,29410,10,38.837,45.457,45.457,47.197,36.787
3396,29412,10,38.837,45.457,45.457,47.197,36.787
4762,29413,10,47.827,45.457,45.457,47.197,36.787
775,29417,10,47.827,51.137,45.457,47.197,42.777
6017,29420,11,47.827,51.137,50.507,,42.777
2071,29420,10,47.827,51.137,50.507,,42.777
3397,29422,10,47.827,51.137,50.507,,42.777
776,29427,10,50.507,52.557,50.507,,44.987
2072,29430,10,50.507,52.557,52.397,51.927,44.987
6018,29430,10,50.507,52.557,52.397,51.927,44.987
3398,29433,11,,52.557,52.397,51.927,44.987
4764,29434,10,,52.557,52.397,51.927,44.987
777,29437,10,,,52.397,51.927,43.407
6019,29440,10,,,52.557,51.767,43.407
3399,29443,10,50.977,,52.557,51.767,43.407
4765,29444,10,50.977,,52.557,51.767,43.407
778,29448,11,50.977,52.557,52.557,51.767,43.257
6020,29451,11,50.977,52.557,53.027,50.817,43.257
2073,29451,21,50.977,52.557,53.027,50.817,43.257
3400,29453,10,50.977,52.557,53.027,50.817,43.257
4766,29455,11,50.977,52.557,53.027,50.817,43.257
779,29458,10,50.977,51.297,53.027,50.817,40.887
6021,29461,10,50.977,51.297,51.447,46.877,40.887
2074,29461,10,50.977,51.297,51.447,46.877,40.887
3401,29463,10,50.977,51.297,51.447,46.877,40.887
4767,29465,10,47.037,51.297,51.447,46.877,40.887
780,29468,10,47.037,,51.447,46.877,39.157
6022,29471,10,47.037,,49.397,45.777,39.157
3402,29474,11,44.037,,49.397,45.777,39.157
4768,29475,10,44.037,,49.397,45.777,39.157
781,29478,10,44.037,44.357,49.397,45.777,35.687
6023,29481,10,44.037,44.357,46.087,42.777,35.687
2075,29482,21,44.037,44.357,46.087,42.777,35.687
3403,29484,10,48.767,44.357,46.087,42.777,35.687
4769,29485,10,48.767,44.357,46.087,42.777,35.687
782,29489,11,48.767,52.867,46.087,42.777,43.727
6024,29492,11,48.767,52.867,53.347,53.497,43.727
2076,29492,10,48.767,52.867,53.347,53.497,43.727
3404,29494,10,48.767,52.867,53.347,53.497,43.727
4770,29496,11,,52.867,53.347,53.497,43.727
2077,29502,10,,59.647,58.857,59.807,
3405,29504,10,59.017,59.647,58.857,59.807,
4771,29506,10,59.017,59.647,58.857,59.807,
784,29509,10,59.017,60.757,58.857,59.807,52.557
6026,29512,10,59.017,60.757,59.967,60.277,52.557
2078,29513,11,59.017,60.757,59.967,60.277,52.557
3406,29515,11,59.177,60.757,59.967,60.277,52.557
4772,29516,10,59.177,60.757,59.967,60.277,52.557
785,29520,11,59.177,61.227,59.967,60.277,
2079,29523,10,59.177,61.227,60.907,60.127,
3407,29525,10,59.177,61.227,60.907,60.127,
4773,29526,10,59.807,61.227,60.907,60.127,
786,29530,10,59.807,61.537,60.907,60.127,52.717
2080,29533,10,59.807,61.537,61.387,61.067,52.717
6027,29533,21,59.807,61.537,61.387,61.067,52.717
3408,29535,10,59.807,61.537,61.387,61.067,52.717
4774,29537,11,59.337,61.537,61.387,61.067,52.717
787,29540,10,59.337,,61.387,61.067,52.557
6028,29543,10,59.337,,,61.067,52.557
4775,29547,10,59.967,,,61.067,52.557
788,29550,10,59.967,62.017,,61.067,53.497
6029,29553,10,59.967,62.017,61.537,61.537,53.497
2082,29554,11,59.967,62.017,61.537,61.537,53.497
3410,29556,10,,62.017,61.537,61.537,53.497
4776,29557,10,,62.017,61.537,61.537,53.497
789,29561,11,,62.017,61.537,61.537,
2083,29564,10,,62.017,,62.177,
3411,29566,10,,62.017,,62.177,
4777,29567,10,60.757,62.017,,62.177,
790,29571,10,60.757,62.487,,62.177,53.497
2084,29574,10,60.757,62.487,62.017,62.017,53.497
6030,29574,21,60.757,62.487,62.017,62.017,53.497
3412,29576,10,60.757,62.487,62.017,62.017,53.497
4778,29578,11,,62.487,62.017,62.017,53.497
2085,29584,10,,62.807,62.957,62.327,53.817
6031,29584,10,,62.807,62.957,62.327,53.817
3413,29587,11,60.907,62.807,62.957,62.327,53.817
4779,29588,10,60.907,62.807,62.957,62.327,53.817
792,29591,10,60.907,62.957,62.957,62.327,
6032,29594,10,60.907,62.957,,61.857,
2086,29595,11,60.907,62.957,,61.857,
3414,29597,10,60.127,62.957,,61.857,
4780,29598,10,60.127,62.957,,61.857,
793,29602,11,60.127,62.327,,61.857,
2087,29605,10,60.127,62.327,62.487,61.697,
3415,29607,10,60.127,62.327,62.487,61.697,
4781,29609,11,60.127,62.327,62.487,61.697,
794,29612,10,60.127,62.647,62.487,61.697,54.447
6034,29615,10,60.127,62.647,62.647,62.647,54.447
2088,29615,10,60.127,62.647,62.647,62.647,54.447
3416,29617,10,60.127,62.647,62.647,62.647,54.447
4782,29619,10,61.857,62.647,62.647,62.647,54.447
795,29622,10,61.857,64.697,62.647,62.647,56.027
6035,29625,10,61.857,64.697,64.537,63.907,56.027
2089,29626,11,61.857,64.697,64.537,63.907,56.027
3417,29628,11,,64.697,64.537,63.907,56.027
4783,29629,10,,64.697,64.537,63.907,56.027
796,29632,10,,64.697,64.537,63.907,57.447
6036,29635,10,,64.697,64.857,65.007,57.447
2090,29636,10,,64.697,64.857,65.007,57.447
3418,29638,10,62.487,64.697,64.857,65.007,57.447
4784,29639,10,62.487,64.697,64.857,65.007,57.447
797,29643,11,62.487,65.637,64.857,65.007,
2091,29646,10,62.487,65.637,65.327,64.537,
3419,29648,10,62.487,65.637,65.327,64.537,
4785,29650,11,63.277,65.637,65.327,64.537,
798,29653,10,63.277,65.637,65.327,64.537,56.657
2092,29656,10,63.277,65.637,65.487,65.797,56.657
6038,29656,10,63.277,65.637,65.487,65.797,56.657
3420,29658,10,63.277,65.637,65.487,65.797,56.657
4786,29660,10,63.277,65.637,65.487,65.797,56.657
799,29663,10,63.277,65.637,65.487,65.797,56.807
6039,29666,10,63.277,65.637,65.167,65.487,56.807
2093,29667,11,63.277,65.637,65.167,65.487,56.807
3421,29669,11,62.957,65.637,65.167,65.487,56.807
4787,29670,10,62.957,65.637,65.167,65.487,56.807
800,29674,11,62.957,65.487,65.167,65.487,56.657
6040,29676,10,62.957,65.487,65.167,65.957,56.657
2094,29677,10,62.957,65.487,65.167,65.957,56.657
3422,29679,10,62.957,65.487,65.167,65.957,56.657
4788,29680,10,63.117,65.487,65.167,65.957,56.657
801,29684,10,63.117,65.637,65.167,65.957,57.287
6041,29687,11,63.117,65.637,65.167,65.637,57.287
2095,29687,10,63.117,65.637,65.167,65.637,57.287
3423,29689,10,63.117,65.637,65.167,65.637,57.287
4789,29691,11,62.807,65.637,65.167,65.637,57.287
802,29694,10,62.807,65.007,65.167,65.637,57.127
6042,29697,10,62.807,65.007,65.007,65.487,57.127
2096,29697,10,62.807,65.007,65.007,65.487,57.127
3424,29700,11,63.117,65.007,65.007,65.487,57.127
4790,29701,10,63.117,65.007,65.007,65.487,57.127
803,29704,10,63.117,64.067,65.007,65.487,55.397
6043,29707,10,63.117,64.067,,63.747,55.397
2097,29708,11,63.117,64.067,,63.747,55.397
4791,29711,10,62.647,64.067,,63.747,55.397
804,29715,11,62.647,63.587,65.327,63.747,56.027
6044,29717,10,62.647,63.587,65.327,63.117,56.027
2098,29718,10,62.647,63.587,65.327,63.117,56.027
3426,29720,10,62.647,63.587,65.327,63.117,56.027
4792,29721,10,61.537,63.587,65.327,63.117,56.027
805,29725,10,61.537,63.117,65.327,63.117,55.077
2099,29728,10,61.537,63.117,64.697,,55.077
6045,29728,11,61.537,63.117,64.697,,55.077
3427,29730,10,61.537,63.117,64.697,,55.077
4793,29732,11,61.067,63.117,64.697,,55.077
806,29735,10,61.067,62.807,64.697,,55.237
2100,29738,10,61.067,62.807,64.377,62.017,55.237
6046,29738,10,61.067,62.807,64.377,62.017,55.237
3428,29741,11,60.277,62.807,64.377,62.017,55.237
4794,29742,10,60.277,62.807,64.377,62.017,55.237
807,29745,10,60.277,62.957,64.377,62.017,55.547
6047,29748,10,60.277,62.957,64.857,61.697,55.547
2101,29749,11,60.277,62.957,64.857,61.697,55.547
3429,29751,10,60.277,62.957,64.857,61.697,55.547
