ID,timestamp,X1,X2,X5,X7,X8
2050,29112,1.781,22.43,26.06,22.28,
3367,29114,1.781,22.43,26.06,22.28,
4733,29116,6.198,22.43,26.06,22.28,
746,29119,6.198,,26.06,22.28,18.18
5993,29122,6.198,,24.8,20.54,18.18
3368,29125,12.34,,24.8,20.54,18.18
4734,29126,12.34,,24.8,20.54,18.18
747,29129,12.34,,24.8,20.54,18.02
5994,29132,12.34,,24.17,19.75,18.02
3369,29135,-13.98,,24.17,19.75,18.02
4735,29136,-13.98,,24.17,19.75,18.02
748,29140,-13.98,,24.17,19.75,17.558
5995,29143,-13.98,,,20.548,17.558
3370,29145,-13.98,,,20.548,17.558
4736,29147,-19.97,,,20.548,17.558
749,29150,-19.97,21.177,,20.548,
2051,29153,-19.97,21.177,25.747,20.237,
3371,29155,-19.97,21.177,25.747,20.237,
4737,29157,-3.737,21.177,25.747,20.237,
750,29160,-3.737,23.387,25.747,20.237,19.917
5996,29163,-3.737,23.387,,22.597,19.917
2052,29164,-3.737,23.387,,22.597,19.917
3372,29166,25.117,23.387,,22.597,19.917
4738,29167,25.117,23.387,,22.597,19.917
751,29170,25.117,26.537,,22.597,20.387
5997,29173,25.117,26.537,29.377,26.067,20.387
2053,29174,25.117,26.537,29.377,26.067,20.387
3373,29176,28.277,26.537,29.377,26.067,20.387
4739,29177,28.277,26.537,29.377,26.067,20.387
752,29181,28.277,30.797,29.377,26.067,25.277
5998,29184,28.277,30.797,33.947,29.377,25.277
2054,29184,28.277,30.797,33.947,29.377,25.277
3374,29186,28.277,30.797,33.947,29.377,25.277
4740,29188,34.107,30.797,33.947,29.377,25.277
753,29191,34.107,,33.947,29.377,30.797
5999,29194,34.107,,38.047,35.057,30.797
3375,29196,34.107,,38.047,35.057,30.797
4741,29198,,,38.047,35.057,30.797
754,29201,,38.367,38.047,35.057,
2055,29205,,38.367,39.937,37.107,
3376,29207,38.367,38.367,39.937,37.107,
4742,29208,38.367,38.367,39.937,37.107,
755,29212,38.367,40.097,39.937,37.107,34.107
6000,29214,38.367,40.097,42.937,39.787,34.107
2056,29215,38.367,40.097,42.937,39.787,34.107
3377,29217,38.367,40.097,42.937,39.787,34.107
4743,29218,39.307,40.097,42.937,39.787,34.107
756,29222,39.307,41.207,42.937,39.787,35.057
6001,29225,39.307,41.207,43.887,41.207,35.057
2057,29225,39.307,41.207,43.887,41.207,35.057
3378,29227,39.307,41.207,43.887,41.207,35.057
4744,29229,39.787,41.207,43.887,41.207,35.057
757,29232,39.787,41.047,43.887,41.207,33.947
6002,29235,39.787,41.047,43.887,40.257,33.947
2058,29236,39.787,41.047,43.887,40.257,33.947
3379,29238,38.677,41.047,43.887,40.257,33.947
4745,29239,38.677,41.047,43.887,40.257,33.947
758,29242,38.677,39.307,43.887,40.257,
2059,29246,38.677,39.307,39.787,31.117,
3380,29248,32.527,39.307,39.787,31.117,
4746,29249,32.527,39.307,39.787,31.117,
759,29253,32.527,29.847,39.787,31.117,26.067
6003,29255,32.527,29.847,33.637,29.697,26.067
2060,29256,32.527,29.847,33.637,29.697,26.067
3381,29258,32.527,29.847,33.637,29.697,26.067
4747,29259,,29.847,33.637,29.697,26.067
760,29263,,29.697,33.637,29.697,24.337
2061,29266,,29.697,,29.847,24.337
6004,29266,,29.697,,29.847,24.337
3382,29268,,29.697,,29.847,24.337
4748,29270,29.537,29.697,,29.847,24.337
761,29273,29.537,36.787,,29.847,29.537
6005,29276,29.537,36.787,37.737,30.167,29.537
2062,29277,29.537,36.787,37.737,30.167,29.537
3383,29279,38.677,36.787,37.737,30.167,29.537
4749,29280,38.677,36.787,37.737,30.167,29.537
762,29283,38.677,43.097,37.737,30.167,36.627
6006,29286,38.677,43.097,42.937,40.887,36.627
2063,29287,38.677,43.097,42.937,40.887,36.627
3384,29289,39.627,43.097,42.937,40.887,36.627
4750,29290,39.627,43.097,42.937,40.887,36.627
763,29294,39.627,,42.937,40.887,
3385,29299,39.627,,43.257,40.577,
4751,29301,38.997,,43.257,40.577,
764,29304,38.997,,43.257,40.577,34.107
6007,29307,38.997,,43.407,38.047,34.107
3386,29309,38.997,,43.407,38.047,34.107
4752,29311,37.737,,43.407,38.047,34.107
765,29314,37.737,39.787,43.407,38.047,32.527
6008,29317,37.737,39.787,,34.427,32.527
2064,29318,37.737,39.787,,34.427,32.527
3387,29320,34.107,39.787,,34.427,32.527
4753,29321,34.107,39.787,,34.427,32.527
766,29324,34.107,37.737,,34.427,31.587
6009,29327,34.107,37.737,39.627,32.847,31.587
2065,29328,34.107,37.737,39.627,32.847,31.587
3388,29330,33.637,37.737,39.627,32.847,31.587
4754,29331,33.637,37.737,39.627,32.847,31.587
767,29335,33.637,33.797,39.627,32.847,28.277
2066,29338,33.637,33.797,36.477,32.687,28.277
6010,29338,33.637,33.797,36.477,32.687,28.277
3389,29340,33.637,33.797,36.477,32.687,28.277
4755,29342,33.007,33.797,36.477,32.687,28.277
768,29345,33.007,,36.477,32.687,27.797
6011,29348,33.007,,35.367,32.377,27.797
3390,29350,33.007,,35.367,32.377,27.797
4756,29352,32.217,,35.367,32.377,27.797
769,29355,32.217,,35.367,32.377,27.487
6012,29358,32.217,,36.317,31.267,27.487
2067,29359,32.217,,36.317,31.267,27.487
3391,29361,31.117,,36.317,31.267,27.487
4757,29362,31.117,,36.317,31.267,27.487
770,29366,31.117,,36.317,31.267,26.697
6013,29368,31.117,,33.797,31.587,26.697
3392,29371,31.117,,33.797,31.587,26.697
4758,29372,31.747,,33.797,31.587,26.697
771,29376,31.747,,33.797,31.587,
3393,29381,31.747,,35.057,32.527,
4759,29383,33.157,,35.057,32.527,
772,29386,33.157,34.427,35.057,32.527,28.427
6014,29389,33.157,34.427,,33.797,28.427
2068,29389,33.157,34.427,,33.797,28.427
3394,29392,34.107,34.427,,33.797,28.427
4760,29393,34.107,34.427,,33.797,28.427
773,29396,34.107,35.057,,33.797,29.377
6015,29399,34.107,35.057,36.947,34.737,29.377
2069,29400,34.107,35.057,36.947,34.737,29.377
3395,29402,38.837,35.057,36.947,34.737,29.377
4761,29403,38.837,35.057,36.947,34.737,29.377
774,29407,38.837,45.457,36.947,34.737,36.787
6016,29409,38.837,45.457,45.457,47.197,36.787
2070,29410,38.837,45.457,45.457,47.197,36.787
3396,29412,38.837,45.457,45.457,47.197,36.787
4762,29413,47.827,45.457,45.457,47.197,36.787
775,29417,47.827,51.137,45.457,47.197,42.777
6017,29420,47.827,51.137,50.507,,42.777
2071,29420,47.827,51.137,50.507,,42.777
3397,29422,47.827,51.137,50.507,,42.777
4763,29424,50.507,51.137,50.507,,42.777
776,29427,50.507,52.557,50.507,,44.987
2072,29430,50.507,52.557,52.397,51.927,44.987
6018,29430,50.507,52.557,52.397,51.927,44.987
3398,29433,51.447,52.557,52.397,51.927,44.987
4764,29434,51.447,52.557,52.397,51.927,44.987
777,29437,51.447,,52.397,51.927,43.407
6019,29440,51.447,,52.557,51.767,43.407
3399,29443,50.977,,52.557,51.767,43.407
4765,29444,50.977,,52.557,51.767,43.407
778,29448,50.977,52.557,52.557,51.767,43.257
6020,29451,50.977,52.557,53.027,50.817,43.257
2073,29451,50.977,52.557,53.027,50.817,43.257
3400,29453,50.977,52.557,53.027,50.817,43.257
4766,29455,50.977,52.557,53.027,50.817,43.257
779,29458,50.977,51.297,53.027,50.817,40.887
6021,29461,50.977,51.297,51.447,46.877,40.887
2074,29461,50.977,51.297,51.447,46.877,40.887
3401,29463,50.977,51.297,51.447,46.877,40.887
4767,29465,47.037,51.297,51.447,46.877,40.887
780,29468,47.037,,51.447,46.877,39.157
6022,29471,47.037,,49.397,45.777,39.157
3402,29474,44.037,,49.397,45.777,39.157
4768,29475,44.037,,49.397,45.777,39.157
